city_name,neighbourhood_name,period_label,dominant_room_type,room_type_entropy,reviews_last_twelve_months_median,reviews_last_twelve_months_median_abs_deviation,host_listing_count_median,host_listing_count_median_abs_deviation,accommodates_count_median,accommodates_count_median_abs_deviation,nightly_price_median,nightly_price_median_abs_deviation,total_reviews_median,total_reviews_median_abs_deviation,rating_score_median,rating_score_median_abs_deviation,accuracy_score_median,accuracy_score_median_abs_deviation,cleanliness_score_median,cleanliness_score_median_abs_deviation,checkin_score_median,checkin_score_median_abs_deviation,communication_score_median,communication_score_median_abs_deviation,location_score_median,location_score_median_abs_deviation,value_score_median,value_score_median_abs_deviation,reviews_per_month_median,reviews_per_month_median_abs_deviation,latitude_median,latitude_median_abs_deviation,longitude_median,longitude_median_abs_deviation
Milano,ADRIANO,Early Spring,Entire home/apt,0.6499,4.0,3.0,2.0,1.0,4.0,1.0,80.0,16.0,8.0,7.0,4.87,0.13,4.89,0.11,4.82,0.18,4.94,0.06,5.0,0.0,4.5,0.27,4.68,0.27,0.86,0.6,45.5119,0.003,9.2422,0.0037
Milano,ADRIANO,Early Summer,Entire home/apt,0.6718,4.0,3.0,2.0,1.0,4.0,1.0,80.0,15.0,9.0,7.0,4.89,0.11,4.89,0.11,4.815,0.185,4.945,0.055,4.985,0.015,4.5,0.3,4.74,0.25,0.86,0.61,45.512,0.0031,9.2422,0.0036
Milano,ADRIANO,Early Winter,Entire home/apt,0.662,3.0,3.0,2.0,1.0,4.0,1.0,79.5,18.5,9.0,7.0,4.82,0.18,4.845,0.155,4.81,0.19,4.91,0.09,4.935,0.065,4.455,0.255,4.69,0.255,0.61,0.53,45.5126,0.0023,9.2438,0.0034
Milano,AFFORI,Early Spring,Entire home/apt,0.7549,5.0,4.0,4.0,3.0,3.0,1.0,75.0,16.0,9.0,8.0,4.86,0.14,4.87,0.13,4.88,0.12,4.94,0.06,4.95,0.05,4.7,0.23,4.7,0.23,0.71,0.56,45.515,0.0043,9.1727,0.003
Milano,AFFORI,Early Summer,Entire home/apt,0.7427,5.0,4.0,4.0,3.0,3.0,1.0,77.0,18.0,9.0,8.0,4.8,0.2,4.83,0.17,4.81,0.19,4.91,0.09,4.94,0.06,4.67,0.23,4.67,0.26,0.73,0.61,45.515,0.0043,9.1729,0.0028
Milano,AFFORI,Early Winter,Entire home/apt,0.8031,4.0,4.0,3.0,2.0,3.0,1.0,77.0,21.0,8.0,7.0,4.85,0.15,4.86,0.14,4.88,0.12,4.94,0.06,4.96,0.04,4.69,0.27,4.67,0.26,0.69,0.56,45.5148,0.0043,9.1727,0.0028
Venezia,Aeroporto,Early Autumn,Private room,1.3516,6.0,3.0,9.0,0.0,3.0,1.0,129.0,10.0,23.0,22.0,4.76,0.14,4.87,0.04,4.92,0.08,4.83,0.13,4.89,0.06,4.6,0.05,4.7,0.08,1.2,0.69,45.5018,0.0014,12.3314,0.0005
Venezia,Aeroporto,Early Spring,Private room,0.9852,7.0,7.0,4.0,2.0,3.0,1.0,91.0,2.0,127.0,111.0,4.77,0.09,4.87,0.05,4.93,0.02,4.8,0.05,4.86,0.04,4.61,0.04,4.72,0.05,1.25,1.05,45.5033,0.01,12.332,0.001
Venezia,Aeroporto,Early Summer,Private room,0.9852,11.0,4.0,9.0,0.0,3.0,1.0,132.0,4.0,131.0,112.0,4.76,0.03,4.87,0.02,4.92,0.04,4.79,0.1,4.89,0.05,4.61,0.03,4.72,0.06,1.23,0.99,45.5033,0.01,12.332,0.001
Venezia,Aeroporto,Early Winter,Private room,0.9544,8.0,6.5,4.0,2.5,2.5,0.5,116.0,13.5,71.5,62.0,4.75,0.115,4.865,0.06,4.92,0.025,4.78,0.065,4.85,0.1,4.605,0.04,4.705,0.065,0.89,0.605,45.5064,0.0058,12.3336,0.0026
Venezia,Alberoni,Early Autumn,Entire home/apt,0.6253,2.5,2.5,3.0,2.0,4.0,1.0,245.0,43.0,5.0,4.0,4.78,0.22,4.9,0.1,4.85,0.15,4.88,0.12,4.915,0.085,4.78,0.22,4.585,0.275,0.4,0.33,45.3481,0.0012,12.3211,0.0026
Venezia,Alberoni,Early Spring,Entire home/apt,0.5033,2.0,2.0,3.0,2.0,4.0,1.0,124.0,15.0,5.0,4.0,4.78,0.22,4.92,0.08,4.85,0.15,4.93,0.07,4.88,0.12,4.79,0.21,4.6,0.29,0.31,0.2,45.3481,0.0012,12.3222,0.0021
Venezia,Alberoni,Early Summer,Entire home/apt,0.5788,3.0,3.0,3.0,2.0,4.0,1.0,160.0,41.0,5.0,4.0,4.79,0.21,4.88,0.12,4.86,0.14,4.88,0.12,4.92,0.08,4.76,0.24,4.6,0.27,0.36,0.28,45.3481,0.001,12.3221,0.0022
Venezia,Alberoni,Early Winter,Entire home/apt,0.4912,2.0,2.0,3.0,2.0,4.0,1.0,100.0,20.0,4.5,3.5,4.805,0.195,4.935,0.065,4.845,0.155,4.97,0.03,4.91,0.09,4.795,0.205,4.615,0.29,0.355,0.255,45.3481,0.0013,12.3222,0.0021
Venezia,Altobello,Early Autumn,Entire home/apt,0.684,23.0,22.5,3.0,1.5,3.0,1.0,95.0,22.0,99.0,96.5,4.9,0.1,4.97,0.03,4.975,0.025,4.92,0.08,4.96,0.04,4.825,0.09,4.8,0.135,1.995,1.76,45.49,0.0011,12.2467,0.001
Venezia,Altobello,Early Spring,Entire home/apt,0.7025,24.0,24.0,3.0,2.0,3.0,1.0,93.0,13.0,87.0,84.0,4.88,0.09,4.94,0.06,4.96,0.04,4.92,0.08,4.94,0.06,4.83,0.07,4.79,0.15,1.89,1.75,45.4888,0.0012,12.2471,0.0013
Venezia,Altobello,Early Summer,Entire home/apt,0.7025,25.0,25.0,3.0,2.0,3.0,1.0,97.0,21.0,104.0,99.0,4.88,0.1,4.97,0.03,4.96,0.04,4.92,0.08,4.93,0.07,4.83,0.08,4.8,0.13,3.47,2.75,45.49,0.0011,12.2467,0.001
Venezia,Altobello,Early Winter,Entire home/apt,0.684,24.0,24.0,3.0,1.5,3.0,1.0,86.0,22.0,64.0,61.5,4.855,0.095,4.94,0.06,4.96,0.04,4.93,0.07,4.945,0.055,4.82,0.095,4.795,0.135,1.745,1.655,45.4888,0.0012,12.2469,0.001
Napoli,Arenella,Early Spring,Entire home/apt,0.9383,3.0,3.0,2.0,1.0,4.0,1.0,81.0,21.0,9.0,7.0,4.94,0.06,4.94,0.06,4.93,0.07,5.0,0.0,5.0,0.0,4.75,0.18,4.83,0.17,0.41,0.29,40.8529,0.003,14.2291,0.0042
Napoli,Arenella,Early Summer,Entire home/apt,0.8983,3.0,3.0,2.0,1.0,4.0,1.0,85.0,25.0,9.0,7.0,4.94,0.06,4.94,0.06,4.93,0.07,5.0,0.0,5.0,0.0,4.78,0.18,4.83,0.17,0.475,0.345,40.8527,0.0029,14.229,0.0041
Napoli,Arenella,Early Winter,Entire home/apt,0.9567,3.0,3.0,2.0,1.0,4.0,1.0,86.0,23.0,8.0,7.0,4.92,0.08,4.94,0.06,4.93,0.07,5.0,0.0,5.0,0.0,4.75,0.18,4.82,0.18,0.48,0.36,40.8529,0.0031,14.2289,0.004
Venezia,Asseggiano,Early Autumn,Entire home/apt,-0.0,38.0,0.0,1.0,0.0,4.0,0.0,86.0,0.0,64.0,0.0,4.98,0.0,4.98,0.0,4.98,0.0,4.98,0.0,5.0,0.0,4.81,0.0,4.92,0.0,3.79,0.0,45.4966,0.0,12.1849,0.0
Venezia,Asseggiano,Early Spring,Entire home/apt,-0.0,38.0,0.0,1.0,0.0,4.0,0.0,104.0,0.0,38.0,0.0,4.97,0.0,4.97,0.0,5.0,0.0,4.97,0.0,5.0,0.0,4.84,0.0,4.89,0.0,3.47,0.0,45.4967,0.0,12.1854,0.0
Venezia,Asseggiano,Early Summer,Entire home/apt,-0.0,41.0,0.0,1.0,0.0,4.0,0.0,83.0,0.0,49.0,0.0,4.98,0.0,4.98,0.0,4.98,0.0,4.98,0.0,5.0,0.0,4.84,0.0,4.92,0.0,3.53,0.0,45.4966,0.0,12.1849,0.0
Venezia,Asseggiano,Early Winter,Entire home/apt,-0.0,36.0,0.0,1.0,0.0,4.0,0.0,135.0,0.0,36.0,0.0,4.97,0.0,4.97,0.0,5.0,0.0,4.97,0.0,5.0,0.0,4.83,0.0,4.89,0.0,4.52,0.0,45.4968,0.0,12.1854,0.0
