city_name,neighbourhood_name,neighbourhood_group_name
Firenze,Campo di Marte,
Firenze,Centro Storico,
Firenze,Gavinana Galluzzo,
Firenze,Isolotto Legnaia,
Firenze,Rifredi,
Milano,ADRIANO,
Milano,AFFORI,
Milano,BAGGIO,
Milano,BANDE NERE,
Milano,BARONA,
Milano,BICOCCA,
Milano,BOVISA,
Milano,BOVISASCA,
Milano,BRERA,
Milano,BRUZZANO,
Milano,BUENOS AIRES - VENEZIA,
Milano,CANTALUPA,
Milano,CASCINA TRIULZA - EXPO,
Milano,CENTRALE,
Milano,CHIARAVALLE,
Milano,CITTA' STUDI,
Milano,COMASINA,
Milano,CORSICA,
Milano,DE ANGELI - MONTE ROSA,
Milano,DERGANO,
Milano,DUOMO,
Milano,EX OM - MORIVIONE,
Milano,FARINI,
Milano,FIGINO,
Milano,FORZE ARMATE,
Milano,GALLARATESE,
Milano,GARIBALDI REPUBBLICA,
Milano,GHISOLFA,
Milano,GIAMBELLINO,
Milano,GIARDINI PORTA VENEZIA,
Milano,GRATOSOGLIO - TICINELLO,
Milano,GRECO,
Milano,GUASTALLA,
Milano,ISOLA,
Milano,LAMBRATE,
Milano,LODI - CORVETTO,
Milano,LORENTEGGIO,
Milano,LORETO,
Milano,MACIACHINI - MAGGIOLINA,
Milano,MAGENTA - S. VITTORE,
Milano,MAGGIORE - MUSOCCO,
Milano,MECENATE,
Milano,MUGGIANO,
Milano,NAVIGLI,
Milano,NIGUARDA - CA' GRANDA,
Milano,ORTOMERCATO,
Milano,PADOVA,
Milano,PAGANO,
Milano,PARCO AGRICOLO SUD,
Milano,PARCO BOSCO IN CITTÀ,
Milano,PARCO DEI NAVIGLI,
Milano,PARCO DELLE ABBAZIE,
Milano,PARCO FORLANINI - ORTICA,
Milano,PARCO LAMBRO - CIMIANO,
Milano,PARCO MONLUE' - PONTE LAMBRO,
Milano,PARCO NORD,
Milano,PARCO SEMPIONE,
Milano,PORTA ROMANA,
Milano,PORTELLO,
Milano,QT 8,
Milano,QUARTO CAGNINO,
Milano,QUARTO OGGIARO,
Milano,QUINTO ROMANO,
Milano,QUINTOSOLE,
Milano,RIPAMONTI,
Milano,ROGOREDO,
Milano,RONCHETTO DELLE RANE,
Milano,RONCHETTO SUL NAVIGLIO,
Milano,SACCO,
Milano,SARPI,
Milano,SCALO ROMANA,
Milano,S. CRISTOFORO,
Milano,SELINUNTE,
Milano,S. SIRO,
Milano,STADERA,
Milano,STEPHENSON,
Milano,TIBALDI,
Milano,TICINESE,
Milano,TORTONA,
Milano,TRENNO,
Milano,TRE TORRI,
Milano,TRIULZO SUPERIORE,
Milano,UMBRIA - MOLISE,
Milano,VIALE MONZA,
Milano,VIGENTINA,
Milano,VILLAPIZZONE,
Milano,WASHINGTON,
Milano,XXII MARZO,
Napoli,Arenella,
Napoli,Avvocata,
Napoli,Bagnoli,
Napoli,Barra,
Napoli,Chiaia,
Napoli,Chiaiano,
Napoli,Fuorigrotta,
Napoli,Mercato,
Napoli,Miano,
Napoli,Montecalvario,
Napoli,Pendino,
Napoli,Pianura,
Napoli,Piscinola,
Napoli,Poggioreale,
Napoli,Ponticelli,
Napoli,Porto,
Napoli,Posillipo,
Napoli,San Carlo all'Arena,
Napoli,San Ferdinando,
Napoli,San Giovanni a Teduccio,
Napoli,San Giuseppe,
Napoli,San Lorenzo,
Napoli,San Pietro a Patierno,
Napoli,Scampia,
Napoli,Secondigliano,
Napoli,Soccavo,
Napoli,Stella,
Napoli,Vicaria,
Napoli,Vomero,
Napoli,Zona Industriale,
Roma,I Centro Storico,
Roma,III Monte Sacro,
Roma,II Parioli/Nomentano,
Roma,IV Tiburtina,
Roma,IX Eur,
Roma,VIII Appia Antica,
Roma,VII San Giovanni/Cinecittà,
Roma,VI Roma delle Torri,
Roma,V Prenestino/Centocelle,
Roma,XI Arvalia/Portuense,
Roma,XIII Aurelia,
Roma,XII Monte Verde,
Roma,XIV Monte Mario,
Roma,X Ostia/Acilia,
Roma,XV Cassia/Flaminia,
Venezia,Alberoni,Isole
Venezia,Burano,Isole
Venezia,Cannaregio,Isole
Venezia,Castello,Isole
Venezia,Dorsoduro,Isole
Venezia,Giudecca,Isole
Venezia,Isola Buel del Lovo,Isole
Venezia,Isola Campalto,Isole
Venezia,Isola Carbonera,Isole
Venezia,Isola Cason Grassabo',Isole
Venezia,Isola Cason vecchio di Grassabo',Isole
Venezia,Isola delle Tresse,Isole
Venezia,Isola di Tessera,Isole
Venezia,Isola ex Batteria Fisolo,Isole
Venezia,Isola ex Forte S.Angelo della Polve,Isole
Venezia,Isola ex Ridotto di Crevan,Isole
