neighbourhood,period,number_of_reviews_ltm_median,number_of_reviews_ltm_median_abs_deviation,host_total_listings_count_median,host_total_listings_count_median_abs_deviation,room_type_mode,room_type_shannon_entropy,accommodates_median,accommodates_median_abs_deviation,price_median,price_median_abs_deviation,number_of_reviews_median,number_of_reviews_median_abs_deviation,review_scores_rating_median,review_scores_rating_median_abs_deviation,review_scores_accuracy_median,review_scores_accuracy_median_abs_deviation,review_scores_cleanliness_median,review_scores_cleanliness_median_abs_deviation,review_scores_checkin_median,review_scores_checkin_median_abs_deviation,review_scores_communication_median,review_scores_communication_median_abs_deviation,review_scores_location_median,review_scores_location_median_abs_deviation,review_scores_value_median,review_scores_value_median_abs_deviation,reviews_per_month_median,reviews_per_month_median_abs_deviation,place,latitude_median,latitude_median_abs_deviation,longitude_median,longitude_median_abs_deviation
ADRIANO,Early Spring,4.0,3.0,2.0,1.0,Entire home/apt,0.6499,4.0,1.0,80.0,16.0,8.0,7.0,4.87,0.13,4.89,0.11,4.82,0.18,4.94,0.06,5.0,0.0,4.5,0.27,4.68,0.27,0.86,0.6,Milano,45.5119,0.003,9.2422,0.0037
ADRIANO,Early Summer,4.0,3.0,2.0,1.0,Entire home/apt,0.6718,4.0,1.0,80.0,15.0,9.0,7.0,4.89,0.11,4.89,0.11,4.815,0.185,4.945,0.055,4.985,0.015,4.5,0.3,4.74,0.25,0.86,0.61,Milano,45.512,0.0031,9.2422,0.0036
ADRIANO,Early Winter,3.0,3.0,2.0,1.0,Entire home/apt,0.662,4.0,1.0,79.5,18.5,9.0,7.0,4.82,0.18,4.845,0.155,4.81,0.19,4.91,0.09,4.935,0.065,4.455,0.255,4.69,0.255,0.61,0.53,Milano,45.5126,0.0023,9.2438,0.0034
AFFORI,Early Spring,5.0,4.0,4.0,3.0,Entire home/apt,0.7549,3.0,1.0,75.0,16.0,9.0,8.0,4.86,0.14,4.87,0.13,4.88,0.12,4.94,0.06,4.95,0.05,4.7,0.23,4.7,0.23,0.71,0.56,Milano,45.515,0.0043,9.1727,0.003
AFFORI,Early Summer,5.0,4.0,4.0,3.0,Entire home/apt,0.7427,3.0,1.0,77.0,18.0,9.0,8.0,4.8,0.2,4.83,0.17,4.81,0.19,4.91,0.09,4.94,0.06,4.67,0.23,4.67,0.26,0.73,0.61,Milano,45.515,0.0043,9.1729,0.0028
AFFORI,Early Winter,4.0,4.0,3.0,2.0,Entire home/apt,0.8031,3.0,1.0,77.0,21.0,8.0,7.0,4.85,0.15,4.86,0.14,4.88,0.12,4.94,0.06,4.96,0.04,4.69,0.27,4.67,0.26,0.69,0.56,Milano,45.5148,0.0043,9.1727,0.0028
Aeroporto,Early Autumn,6.0,3.0,9.0,0.0,Private room,1.3516,3.0,1.0,129.0,10.0,23.0,22.0,4.76,0.14,4.87,0.04,4.92,0.08,4.83,0.13,4.89,0.06,4.6,0.05,4.7,0.08,1.2,0.69,Venezia,45.5018,0.0014,12.3314,0.0005
Aeroporto,Early Spring,7.0,7.0,4.0,2.0,Private room,0.9852,3.0,1.0,91.0,2.0,127.0,111.0,4.77,0.09,4.87,0.05,4.93,0.02,4.8,0.05,4.86,0.04,4.61,0.04,4.72,0.05,1.25,1.05,Venezia,45.5033,0.01,12.332,0.001
Aeroporto,Early Summer,11.0,4.0,9.0,0.0,Private room,0.9852,3.0,1.0,132.0,4.0,131.0,112.0,4.76,0.03,4.87,0.02,4.92,0.04,4.79,0.1,4.89,0.05,4.61,0.03,4.72,0.06,1.23,0.99,Venezia,45.5033,0.01,12.332,0.001
Aeroporto,Early Winter,8.0,6.5,4.0,2.5,Private room,0.9544,2.5,0.5,116.0,13.5,71.5,62.0,4.75,0.115,4.865,0.06,4.92,0.025,4.78,0.065,4.85,0.1,4.605,0.04,4.705,0.065,0.89,0.605,Venezia,45.5064,0.0058,12.3336,0.0026
Alberoni,Early Autumn,2.5,2.5,3.0,2.0,Entire home/apt,0.6253,4.0,1.0,245.0,43.0,5.0,4.0,4.78,0.22,4.9,0.1,4.85,0.15,4.88,0.12,4.915,0.085,4.78,0.22,4.585,0.275,0.4,0.33,Venezia,45.3481,0.0012,12.3211,0.0026
Alberoni,Early Spring,2.0,2.0,3.0,2.0,Entire home/apt,0.5033,4.0,1.0,124.0,15.0,5.0,4.0,4.78,0.22,4.92,0.08,4.85,0.15,4.93,0.07,4.88,0.12,4.79,0.21,4.6,0.29,0.31,0.2,Venezia,45.3481,0.0012,12.3222,0.0021
Alberoni,Early Summer,3.0,3.0,3.0,2.0,Entire home/apt,0.5788,4.0,1.0,160.0,41.0,5.0,4.0,4.79,0.21,4.88,0.12,4.86,0.14,4.88,0.12,4.92,0.08,4.76,0.24,4.6,0.27,0.36,0.28,Venezia,45.3481,0.001,12.3221,0.0022
Alberoni,Early Winter,2.0,2.0,3.0,2.0,Entire home/apt,0.4912,4.0,1.0,100.0,20.0,4.5,3.5,4.805,0.195,4.935,0.065,4.845,0.155,4.97,0.03,4.91,0.09,4.795,0.205,4.615,0.29,0.355,0.255,Venezia,45.3481,0.0013,12.3222,0.0021
Altobello,Early Autumn,23.0,22.5,3.0,1.5,Entire home/apt,0.684,3.0,1.0,95.0,22.0,99.0,96.5,4.9,0.1,4.97,0.03,4.975,0.025,4.92,0.08,4.96,0.04,4.825,0.09,4.8,0.135,1.995,1.76,Venezia,45.49,0.0011,12.2467,0.001
Altobello,Early Spring,24.0,24.0,3.0,2.0,Entire home/apt,0.7025,3.0,1.0,93.0,13.0,87.0,84.0,4.88,0.09,4.94,0.06,4.96,0.04,4.92,0.08,4.94,0.06,4.83,0.07,4.79,0.15,1.89,1.75,Venezia,45.4888,0.0012,12.2471,0.0013
Altobello,Early Summer,25.0,25.0,3.0,2.0,Entire home/apt,0.7025,3.0,1.0,97.0,21.0,104.0,99.0,4.88,0.1,4.97,0.03,4.96,0.04,4.92,0.08,4.93,0.07,4.83,0.08,4.8,0.13,3.47,2.75,Venezia,45.49,0.0011,12.2467,0.001
Altobello,Early Winter,24.0,24.0,3.0,1.5,Entire home/apt,0.684,3.0,1.0,86.0,22.0,64.0,61.5,4.855,0.095,4.94,0.06,4.96,0.04,4.93,0.07,4.945,0.055,4.82,0.095,4.795,0.135,1.745,1.655,Venezia,45.4888,0.0012,12.2469,0.001
Arenella,Early Spring,3.0,3.0,2.0,1.0,Entire home/apt,0.9383,4.0,1.0,81.0,21.0,9.0,7.0,4.94,0.06,4.94,0.06,4.93,0.07,5.0,0.0,5.0,0.0,4.75,0.18,4.83,0.17,0.41,0.29,Napoli,40.8529,0.003,14.2291,0.0042
