neighbourhood_group,neighbourhood,city
,Campo di Marte,firenze
,Centro Storico,firenze
,Gavinana Galluzzo,firenze
,Isolotto Legnaia,firenze
,Rifredi,firenze
,ADRIANO,milano
,AFFORI,milano
,BAGGIO,milano
,BANDE NERE,milano
,BARONA,milano
,BICOCCA,milano
,BOVISA,milano
,BOVISASCA,milano
,BRERA,milano
,BRUZZANO,milano
,BUENOS AIRES - VENEZIA,milano
,CANTALUPA,milano
,CASCINA TRIULZA - EXPO,milano
,CENTRALE,milano
,CHIARAVALLE,milano
,CITTA' STUDI,milano
,COMASINA,milano
,CORSICA,milano
,DE ANGELI - MONTE ROSA,milano
,DERGANO,milano
,DUOMO,milano
,EX OM - MORIVIONE,milano
,FARINI,milano
,FIGINO,milano
,FORZE ARMATE,milano
,GALLARATESE,milano
,GARIBALDI REPUBBLICA,milano
,GHISOLFA,milano
,GIAMBELLINO,milano
,GIARDINI PORTA VENEZIA,milano
,GRATOSOGLIO - TICINELLO,milano
,GRECO,milano
,GUASTALLA,milano
,ISOLA,milano
,LAMBRATE,milano
,LODI - CORVETTO,milano
,LORENTEGGIO,milano
,LORETO,milano
,MACIACHINI - MAGGIOLINA,milano
,MAGENTA - S. VITTORE,milano
,MAGGIORE - MUSOCCO,milano
,MECENATE,milano
,MUGGIANO,milano
,NAVIGLI,milano
,NIGUARDA - CA' GRANDA,milano
,ORTOMERCATO,milano
,PADOVA,milano
,PAGANO,milano
,PARCO AGRICOLO SUD,milano
,PARCO BOSCO IN CITT,milano
,PARCO DEI NAVIGLI,milano
,PARCO DELLE ABBAZIE,milano
,PARCO FORLANINI - ORTICA,milano
,PARCO LAMBRO - CIMIANO,milano
,PARCO MONLUE' - PONTE LAMBRO,milano
,PARCO NORD,milano
,PARCO SEMPIONE,milano
,PORTA ROMANA,milano
,PORTELLO,milano
,QT 8,milano
,QUARTO CAGNINO,milano
,QUARTO OGGIARO,milano
,QUINTO ROMANO,milano
,QUINTOSOLE,milano
,RIPAMONTI,milano
,ROGOREDO,milano
,RONCHETTO DELLE RANE,milano
,RONCHETTO SUL NAVIGLIO,milano
,SACCO,milano
